aX,aY,aZ,gX,gY,gZ
0.127,-0.304,0.835,-15.015,4.883,7.019
0.118,-0.286,0.818,-15.686,1.404,5.737
0.113,-0.334,0.847,-18.616,-2.014,4.089
0.105,-0.391,0.898,-20.996,-4.211,3.357
0.099,-0.468,0.924,-20.691,-5.188,3.967
0.088,-0.511,0.947,-16.113,-5.493,6.653
0.078,-0.471,0.912,-8.667,-5.981,11.169
0.077,-0.395,0.896,-1.404,-7.874,15.076
0.082,-0.309,0.908,1.526,-10.742,17.151
0.099,-0.231,0.939,0.305,-11.658,17.029
0.106,-0.205,0.983,-4.822,-11.353,14.587
0.096,-0.180,1.004,-10.376,-9.033,10.864
0.085,-0.232,0.993,-14.526,-6.836,6.653
0.071,-0.257,0.999,-15.747,-6.165,4.211
0.062,-0.301,1.002,-13.977,-6.348,3.601
0.059,-0.352,1.027,-10.315,-6.836,4.089
0.052,-0.341,1.044,-6.042,-7.507,6.714
0.053,-0.296,1.035,0.183,-6.653,8.728
0.064,-0.256,1.040,5.188,-5.981,8.850
0.078,-0.198,1.026,5.371,-4.089,7.751
0.078,-0.210,1.003,2.258,-1.587,5.066
0.076,-0.275,0.978,-3.113,0.549,2.136
0.075,-0.335,0.967,-6.165,1.465,0.977
0.081,-0.350,0.946,-4.578,1.709,1.648
0.083,-0.355,0.920,0.488,1.404,2.197
0.095,-0.328,0.916,4.395,0.061,3.418
0.097,-0.310,0.899,6.165,-0.549,4.395
0.103,-0.283,0.907,5.920,-0.916,4.639
0.111,-0.263,0.902,3.662,-1.099,4.639
0.116,-0.277,0.896,0.549,-0.793,3.845
0.113,-0.300,0.889,-2.075,-0.916,3.662
0.101,-0.313,0.865,-1.892,-1.282,4.211

-1.786,0.026,0.861,-69.092,-74.585,-136.780
-1.813,-0.053,1.060,-73.303,-74.524,-128.906
-1.753,-0.169,1.344,-70.068,-74.951,-123.169
-1.615,-0.393,1.592,-52.734,-70.984,-119.934
-1.429,-0.576,1.731,-27.649,-60.303,-113.098
-1.215,-0.725,1.682,8.545,-44.983,-102.478
-1.059,-0.879,1.414,46.814,-26.794,-89.355
-0.980,-0.908,1.079,80.750,-12.756,-70.862
-0.915,-0.888,0.761,111.450,-7.874,-50.232
-0.874,-0.816,0.611,128.662,-12.085,-27.832
-0.817,-0.555,0.653,124.084,-21.545,-1.709
-0.735,-0.266,0.835,107.422,-29.968,20.630
-0.649,0.063,1.075,86.670,-32.227,34.363
-0.603,0.283,1.147,65.491,-25.146,38.696
-0.534,0.323,1.195,44.006,-15.564,35.278
-0.484,0.273,1.217,21.667,-5.920,31.128
-0.477,0.242,1.224,2.136,5.005,30.396
-0.502,0.244,1.158,-10.986,15.930,31.616
-0.537,0.221,1.004,-12.085,24.719,31.311
-0.605,0.238,0.907,-9.827,27.893,30.457
-0.629,0.187,0.795,-8.240,25.940,29.297
-0.657,0.141,0.745,-7.935,20.142,29.968
-0.676,0.135,0.746,-2.625,11.658,31.982
-0.657,0.144,0.774,2.502,3.235,33.447
-0.626,0.116,0.842,9.277,-3.601,34.424
-0.538,0.076,1.013,14.099,-9.460,36.560
-0.485,-0.002,1.257,16.296,-10.254,39.124
-0.492,0.052,1.287,22.522,-1.648,45.105
-0.515,0.117,1.158,33.813,10.315,47.241
-0.553,0.216,1.036,42.969,16.541,46.082
