aX,aY,aZ,gX,gY,gZ
-0.075,1.223,0.673,-93.506,109.863,-48.279
-0.098,1.235,0.642,-78.552,101.807,-63.477
-0.139,1.262,0.625,-67.566,93.750,-77.515
-0.180,1.265,0.699,-62.256,85.999,-92.407
-0.214,1.185,0.811,-63.416,80.383,-108.398
-0.235,0.965,0.949,-70.862,80.200,-123.901
-0.263,0.854,1.006,-68.787,84.412,-133.179
-0.316,0.704,0.922,-60.608,93.567,-140.137
-0.392,0.699,0.648,-49.866,102.783,-144.043
-0.456,0.712,0.426,-41.931,102.844,-147.461
-0.481,0.705,0.333,-38.025,93.018,-153.198
-0.490,0.532,0.334,-32.715,81.360,-160.095
-0.472,0.483,0.354,-24.597,70.984,-161.987
-0.444,0.417,0.422,-21.667,62.195,-161.072
-0.412,0.354,0.521,-20.264,55.542,-161.316
-0.386,0.311,0.558,-19.958,53.833,-160.583
-0.367,0.218,0.575,-20.569,54.382,-161.255
-0.344,0.143,0.567,-19.348,55.786,-159.851
-0.330,0.131,0.516,-14.099,57.129,-156.799
-0.329,0.193,0.410,-7.019,57.800,-153.687
-0.315,0.158,0.271,-0.671,56.213,-153.992
-0.282,0.113,0.194,-0.183,49.133,-153.442
-0.232,0.087,0.235,-1.831,38.696,-149.780
-0.174,0.057,0.268,-1.221,30.518,-146.545
-0.119,0.038,0.267,-0.549,26.428,-143.311
-0.073,0.005,0.214,-0.854,23.254,-141.113
-0.033,0.036,0.130,1.160,20.386,-138.062
0.003,0.031,0.063,2.319,15.320,-137.390
0.042,-0.041,-0.023,0.610,8.850,-137.756
0.082,-0.099,-0.053,-5.188,0.427,-136.719
0.126,-0.191,-0.034,-12.939,-9.521,-135.071
0.156,-0.283,-0.064,-17.151,-18.555,-132.263
0.180,-0.369,-0.084,-18.188,-27.710,-127.319
0.201,-0.364,-0.016,-14.954,-38.940,-120.483
0.219,-0.364,-0.026,-7.263,-47.546,-113.831
0.228,-0.427,0.017,-6.958,-56.335,-109.253
0.224,-0.404,0.109,-9.949,-65.979,-103.943
0.205,-0.410,0.084,-15.076,-71.655,-99.915
0.186,-0.471,0.014,-21.973,-76.782,-98.267
0.180,-0.584,0.015,-29.114,-86.670,-95.886
0.183,-0.667,0.095,-34.058,-98.511,-90.576
0.185,-0.767,0.176,-36.865,-108.826,-83.618
0.177,-0.798,0.294,-36.926,-117.004,-74.219
0.166,-0.811,0.309,-33.508,-121.033,-64.026
0.135,-0.797,0.284,-32.410,-123.840,-54.443
0.112,-0.797,0.269,-29.907,-129.822,-45.593
0.105,-0.878,0.305,-31.921,-138.245,-37.659
0.092,-0.874,0.452,-32.593,-147.888,-27.222
0.071,-0.811,0.539,-28.259,-153.381,-15.808
0.059,-0.763,0.540,-23.499,-154.175,-7.141
0.045,-0.720,0.569,-20.752,-156.006,0.366
0.011,-0.727,0.609,-20.081,-158.569,7.385
-0.010,-0.749,0.626,-21.484,-159.912,15.625
-0.037,-0.743,0.679,-21.606,-163.025,24.597
-0.098,-0.713,0.774,-14.465,-167.603,34.485
-0.134,-0.740,0.906,-7.019,-171.143,42.419
-0.162,-0.749,1.088,-1.343,-173.462,51.208
-0.214,-0.722,1.234,2.991,-170.898,59.937
-0.257,-0.708,1.273,10.925,-163.879,67.322
-0.301,-0.754,1.202,12.756,-154.663,72.876
-0.367,-0.765,1.228,8.911,-150.757,79.590
-0.384,-0.788,1.358,11.902,-150.940,87.646
-0.396,-0.815,1.438,14.709,-146.851,95.520
-0.413,-0.775,1.489,24.841,-141.907,105.530
-0.440,-0.778,1.615,27.771,-140.076,113.647
-0.464,-0.730,1.725,18.982,-134.460,121.765
-0.513,-0.587,1.858,13.733,-127.502,130.493
-0.524,-0.510,2.025,7.507,-118.896,135.010
-0.505,-0.462,2.155,4.639,-106.201,139.771
-0.511,-0.377,2.256,4.089,-91.370,143.066
-0.533,-0.248,2.208,1.709,-73.242,147.095
-0.550,-0.071,2.197,2.502,-58.838,149.536
-0.533,0.067,2.159,0.305,-46.204,149.109
